flight_id,subseq_id,window_idx,t_end,err_Latitude,err_Longitude,err_AltB,err_BaroA,err_OAT,err_GndSpd,err_VSpd,err_Pitch,err_Roll,err_LatAc,err_NormAc,err_HDG,err_TRK,err_volt1,err_volt2,err_amp1,err_amp2,err_FQtyL,err_FQtyR,err_E1_FFlow,err_E1_OilT,err_E1_OilP,err_E1_RPM,err_E1_CHT2,err_E1_CHT4,err_E1_EGT2,err_E1_EGT4,err_TAS,err_CRS,err_NAV1,err_NAV2,err_COM1,err_COM2,err_MagVar,err_VSpdG,err_HAL,err_HPLfd
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,0,-1,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1,0,2.350000000461705e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,-4.279999999999999,0.040000000000000036,0.030000000000000027,-0.019999999999999997,0.03,0.0,0.0,0.09999999999999787,0.0,0.09999999999999964,0.0,0.030000000000001137,0.0,0.03000000000000025,-0.04000000000000625,0.009999999999990905,-1.5,-0.6800000000000068,-0.7199999999999989,-1.3600000000001273,-3.849999999999909,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,2,1,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,-15.42,-0.07000000000000028,0.0,0.019999999999999997,-0.01,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.019999999999999574,0.0,0.2999999999999998,-0.0899999999999892,2.010000000000005,83.39999999999986,-1.6599999999999966,-1.769999999999996,-10.019999999999982,0.7799999999999727,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,3,2,3.1100000001060835e-05,1.3400000000274304e-05,1.0,0.0,0.0,-4.34678e-15,10.84,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.10000000000000142,0.09999999999999964,0.0,0.019999999999999574,0.0,0.040000000000000036,-0.05000000000001137,0.7800000000000011,43.5,-0.8100000000000023,-0.8700000000000045,-7.379999999999882,7.629999999999882,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,4,3,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,2.5700000000000003,-0.020000000000000018,0.010000000000000009,0.0,0.01,0.0,0.0,0.0,-0.10000000000000142,0.0,0.0,0.0,0.0,0.040000000000000036,-0.03999999999999204,1.1400000000000006,43.200000000000045,-0.7999999999999972,-0.8900000000000006,8.759999999999991,9.210000000000036,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,5,4,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,-0.009999999999999787,-0.020000000000000018,-0.030000000000000027,0.0,-0.01,0.0,0.0,0.0,0.0,0.10000000000000053,0.0,0.0,0.0,0.03000000000000025,-0.04000000000000625,0.6199999999999903,28.0,-0.769999999999996,-0.8599999999999994,21.079999999999927,10.799999999999955,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,6,5,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,-5.88,0.06000000000000005,-0.010000000000000009,-0.01,0.02,0.0,0.0,0.0,0.10000000000000142,0.20000000000000018,0.0,0.0,0.0,0.0,-0.04999999999999716,0.13000000000000966,12.100000000000023,-0.7900000000000063,-0.8799999999999955,25.649999999999977,10.070000000000164,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,7,6,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,6.510000000000001,-0.029999999999999805,0.010000000000000009,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999986,-0.03999999999999204,0.5099999999999909,18.0,-0.769999999999996,-0.9399999999999977,24.32000000000005,10.169999999999845,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.5
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,8,7,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,3.0,-0.03000000000000025,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.19999999999999973,0.09999999999999998,0.0,0.0,0.030000000000000027,-0.04000000000000625,0.3900000000000077,16.200000000000045,-0.8100000000000023,-0.9100000000000108,9.519999999999982,10.170000000000073,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,9,8,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,-28.950000000000003,-0.009999999999999787,-0.010000000000000009,0.03,-0.01,0.0,0.0,0.0,-0.10000000000000142,-0.10000000000000009,0.0,0.0,0.0,-0.030000000000000027,-0.04999999999999716,0.12999999999999545,6.399999999999977,-0.75,-0.9099999999999966,5.769999999999982,8.420000000000073,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,10,9,3.1100000001060835e-05,1.3400000000274304e-05,-1.0,0.0,0.0,-4.34678e-15,1.7400000000000002,-0.03000000000000025,-0.010000000000000009,-0.03,-0.03,0.0,0.0,0.0,0.10000000000000142,0.10000000000000009,0.0,0.0,0.0,0.030000000000000027,-0.04000000000000625,-0.0799999999999983,-0.7000000000000455,-0.75,-0.8799999999999955,7.82000000000005,7.369999999999891,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,11,10,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,-11.09,0.03000000000000025,0.020000000000000018,0.01,0.04,0.0,0.0,0.0,0.0,0.19999999999999973,0.0,0.0,0.0,-0.020000000000000018,-0.03999999999999204,0.0799999999999983,1.8000000000000682,-0.769999999999996,-0.9500000000000028,11.100000000000023,6.3900000000001,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,12,11,3.1100000001060835e-05,1.3400000000274304e-05,0.0,0.0,0.0,-4.34678e-15,9.49,-0.020000000000000018,-0.040000000000000036,0.0,1.0849799999999998e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,-0.05000000000001137,0.07000000000000028,1.5,-0.7399999999999949,-0.9299999999999926,11.309999999999945,5.579999999999927,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,13,12,3.1100000001060835e-05,5.800000010935946e-06,1.0,0.0,0.0,-4.34678e-15,9.59,-0.050000000000000266,0.030000000000000027,-0.019999999999999997,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,-0.03999999999999204,0.010000000000005116,2.3999999999999773,-0.8700000000000045,-1.0500000000000114,9.07000000000005,5.349999999999909,-3.35493e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.81956e-16,0.0,0.0
