epoch,step,train_ap_epoch,train_ap_step,train_auroc_epoch,train_auroc_step,train_f1_epoch,train_f1_step,train_loss,val_ap,val_auroc,val_f1,val_loss
0,1,,,,,,,,0.6222222447395325,0.8115942478179932,0.0,0.5936307907104492
0,1,0.5864399075508118,,0.4544064998626709,,0.422450453042984,,,,,,
1,3,,,,,,,,0.7575757503509521,0.8840579986572266,0.0,0.4790462851524353
1,3,0.6708822846412659,,0.590067446231842,,0.33977317810058594,,,,,,
2,5,,,,,,,,0.7666666507720947,0.8985507488250732,0.5,0.5116131901741028
2,5,0.6454687714576721,,0.5269846320152283,,0.4772632420063019,,,,,,
3,7,,,,,,,,0.6055555939674377,0.739130437374115,0.5,0.5800368189811707
3,7,0.7352772355079651,,0.6474401354789734,,0.40827712416648865,,,,,,
4,9,,,,,,,,0.5940171480178833,0.6521739363670349,0.20000001788139343,0.676460862159729
4,9,0.8210769295692444,,0.7970499396324158,,0.5261437892913818,,,,,,
5,11,,,,,,,,0.5940171480178833,0.6521739363670349,0.20000001788139343,0.6768432259559631
5,11,0.7881442308425903,,0.774411678314209,,0.7101604342460632,,,,,,
6,13,,,,,,,,0.5940171480178833,0.6521739363670349,0.23529411852359772,0.5799558162689209
6,13,0.7952107191085815,,0.7703758478164673,,0.677031934261322,,,,,,
7,15,,,,,,,,0.5940171480178833,0.6521739363670349,0.5,0.4779490828514099
7,15,0.8566451072692871,,0.8730711340904236,,0.6058281064033508,,,,,,
8,17,,,,,,,,0.60317462682724,0.7246376872062683,0.5,0.5352373123168945
8,17,0.8841065168380737,,0.8754357695579529,,0.44475045800209045,,,,,,
9,19,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6363115310668945
9,19,0.7230106592178345,,0.7613093852996826,,0.45677947998046875,,,,,,
10,21,,,,,,,,0.6055555939674377,0.739130437374115,0.2222222238779068,0.696882963180542
10,21,0.7973742485046387,,0.7904778122901917,,0.7575598359107971,,,,,,
11,23,,,,,,,,0.6055555939674377,0.739130437374115,0.2222222238779068,0.6782111525535583
11,23,0.8762985467910767,,0.8611836433410645,,0.7632036209106445,,,,,,
12,25,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.6483557820320129
12,25,0.7606281042098999,,0.748914361000061,,0.7582355737686157,,,,,,
13,27,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.628353476524353
13,27,0.8565678596496582,,0.808147668838501,,0.8068733215332031,,,,,,
14,29,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.6285320520401001
14,29,0.7732276320457458,,0.7585552334785461,,0.7301321029663086,,,,,,
15,31,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.5816856026649475
15,31,0.8435431122779846,,0.8351304531097412,,0.7324283719062805,,,,,,
16,33,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.5841442346572876
16,33,0.758294939994812,,0.757362961769104,,0.7558863759040833,,,,,,
17,35,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6375042796134949
17,35,0.7621321082115173,,0.7861639261245728,,0.7668845057487488,,,,,,
18,37,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6832300424575806
18,37,0.8092536926269531,,0.8366557955741882,,0.7714643478393555,,,,,,
19,39,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6664474010467529
19,39,0.7664929628372192,,0.8032277226448059,,0.720578134059906,,,,,,
20,41,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.636650800704956
20,41,0.8390016555786133,,0.850055456161499,,0.748161256313324,,,,,,
21,43,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6400285959243774
21,43,0.7690647840499878,,0.7417289018630981,,0.6961871385574341,,,,,,
22,45,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6500126123428345
22,45,0.7119686603546143,,0.7830541133880615,,0.7474246025085449,,,,,,
23,47,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.651972234249115
23,47,0.7506550550460815,,0.749727725982666,,0.6719073057174683,,,,,,
24,49,,0.6893148422241211,,0.7976190447807312,,0.6499999761581421,0.49358126521110535,,,,
24,49,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6383323669433594
24,49,0.7868952751159668,,0.8003433346748352,,0.7069353461265564,,,,,,
25,51,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6245324015617371
25,51,0.8272315859794617,,0.805033802986145,,0.689043402671814,,,,,,
26,53,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.615504801273346
26,53,0.7777504920959473,,0.8112106323242188,,0.7168627977371216,,,,,,
27,55,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.613135576248169
27,55,0.876805305480957,,0.8660290241241455,,0.7936777472496033,,,,,,
28,57,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.611811637878418
28,57,0.8417361378669739,,0.8201035261154175,,0.7192022204399109,,,,,,
29,59,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6115323901176453
29,59,0.8379336595535278,,0.8343669176101685,,0.7867205739021301,,,,,,
