prototype_id,hit_count
19,3
24,2
10,2
4,2
21,2
20,2
1,2
23,1
22,1
0,1
9,1
7,1
5,1
12,1
11,0
8,0
13,0
14,0
15,0
16,0
17,0
18,0
6,0
3,0
2,0
