signal,threshold,thr_value,precision,recall,f1
nearest_dist,P95,14.806866695411266,0.9381688466111772,0.774288518155054,0.8483870967741935
nearest_dist,P99,18.49293172659681,0.9841954022988506,0.6722276741903828,0.7988338192419825
viol_count_sum,P95,73.0,0.9490874159462056,0.9695780176643768,0.9592233009708738
viol_count_sum,P99,105.88999999999965,0.9882352941176471,0.9067713444553483,0.9457523029682702
viol_sev_sum,P95,367.004790822354,0.9488188976377953,0.9460255152109912,0.9474201474201475
viol_sev_sum,P99,558.1383034756348,0.9883720930232558,0.9175662414131501,0.9516539440203562
