file,cluster_id,nearest_dist
window_1000.csv,1,12.734882217176986
window_10000.csv,2,10.713135610242789
window_10025.csv,2,11.685657977180204
window_10050.csv,3,11.198046372296664
window_10075.csv,3,10.594580350826572
window_10100.csv,3,9.92389098762804
window_10125.csv,3,9.01265797634504
window_10150.csv,3,8.24698365600757
window_10175.csv,3,9.595784752524686
window_10200.csv,3,10.192954830892582
window_10225.csv,5,7.860801010087963
window_1025.csv,1,12.401766849343241
window_10250.csv,5,7.087085985845518
window_10275.csv,5,8.145448773430305
window_10300.csv,5,8.431307869772965
window_10325.csv,5,6.586718379553148
window_10350.csv,5,5.968326039372813
window_10375.csv,5,7.330003191804575
window_10400.csv,5,8.21500415781055
window_10425.csv,5,8.493101681676368
window_10450.csv,5,6.910140925093037
window_10475.csv,5,7.266063258268557
window_1050.csv,1,12.036855581473029
window_10500.csv,5,5.395515536056588
window_10525.csv,5,5.3847640756488016
window_10550.csv,5,3.6498672531163585
window_10575.csv,5,5.705749158616591
window_10600.csv,5,4.995197035219684
window_10625.csv,5,6.686771417971306
window_10650.csv,5,4.902376969580158
window_10675.csv,5,4.856155244132777
window_10700.csv,5,4.6252770228810665
window_10725.csv,5,5.560044563018733
window_1075.csv,1,11.990463278772653
window_10750.csv,5,5.789984710437773
window_10775.csv,5,6.255050158219703
window_10800.csv,5,7.845659881829129
window_10825.csv,5,7.605545973474095
window_10850.csv,5,8.064947913718319
window_10875.csv,5,7.769249355869141
window_10900.csv,5,8.640537273632109
window_10925.csv,5,8.686964775334541
window_10950.csv,5,10.411505928898485
window_10975.csv,5,11.777219547181227
window_1100.csv,1,11.815471139636088
window_11000.csv,5,11.115981250959933
window_11025.csv,5,11.892437340320182
window_11050.csv,7,13.248624123031968
window_11075.csv,7,13.280703808704866
window_11100.csv,7,13.113605518101146
window_11125.csv,7,12.569942580045197
window_11150.csv,7,10.301098073350735
window_11175.csv,7,10.503487402441202
window_11200.csv,7,6.403880218521663
window_11225.csv,7,5.977383698858492
window_1125.csv,1,11.427190827161521
window_11250.csv,7,6.238839583478122
window_11275.csv,7,7.508251966689296
window_11300.csv,7,4.898542937120589
window_11325.csv,7,4.824114085344303
window_11350.csv,7,6.809309538751935
window_11375.csv,7,6.521657343992419
window_11400.csv,7,5.387152923667452
window_11425.csv,7,6.197433375683745
window_11450.csv,7,7.681933613319489
window_11475.csv,7,8.428204388137061
window_1150.csv,9,16.593920675403783
window_11500.csv,7,8.938616165781802
window_11525.csv,7,6.121049997792338
window_11550.csv,7,6.392494589149232
window_11575.csv,7,9.114913709361256
window_11600.csv,7,5.891767584752204
window_11625.csv,7,6.373074624633746
window_11650.csv,7,5.2923732783680535
window_11675.csv,7,5.713199941778847
window_11700.csv,7,5.25173364624875
window_11725.csv,7,6.510070380879903
window_1175.csv,2,7.87662659297005
window_11750.csv,7,6.720446762730519
window_11775.csv,7,6.795555353252923
window_11800.csv,7,7.225960374591093
window_11825.csv,7,7.1587187753205805
window_11850.csv,7,6.67763055420254
window_11875.csv,7,6.664681308573118
window_11900.csv,7,8.047921491106312
window_11925.csv,7,7.153647911276944
window_11950.csv,7,6.325830819557453
window_11975.csv,7,11.323448847211353
window_1200.csv,2,7.2607195284559625
window_12000.csv,7,7.2803063183929595
window_12025.csv,7,5.432607797005112
window_12050.csv,7,4.938394779280081
window_12075.csv,7,4.3354538061639785
window_12100.csv,7,3.0549802645611313
window_12125.csv,7,6.243771598985563
window_12150.csv,8,8.126554700288851
window_12175.csv,2,7.271756507919698
window_12200.csv,2,4.990791886642142
window_12225.csv,2,4.309672872694501
window_1225.csv,2,8.423214408892074
window_12250.csv,2,6.226461127860067
window_12275.csv,2,8.556524029646921
window_12300.csv,7,9.774211341301596
window_12325.csv,7,10.148602004367262
window_12350.csv,7,10.162831167530596
window_12375.csv,7,10.577502972653397
