flight_id,subseq_id,window_idx,top1_feature,top1_contrib,top2_feature,top2_contrib,top3_feature,top3_contrib,top4_feature,top4_contrib,top5_feature,top5_contrib
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,552,VSpd,0.5889817893065661,VSpdG,0.312043332082949,E1_RPM,0.05685535287951975,AltB,0.02644435017652109,Roll,0.0029749893948586227
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,553,VSpdG,0.8012621265612294,VSpd,0.102333782255231,AltB,0.02440392263638262,E1_RPM,0.02440392263638262,Roll,0.022532955234259956
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,554,VSpd,0.9223982380325264,AltB,0.045179611242638903,TAS,0.011294902810659726,E1_EGT4,0.004235588553997397,E1_EGT2,0.003783792441571419
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,555,VSpdG,0.6185060493051646,VSpd,0.13688763324723438,E1_RPM,0.06279249231524513,AltB,0.031396246157622563,TAS,0.031396246157622563
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,556,VSpdG,0.5483891327664202,E1_RPM,0.20542831005218598,VSpd,0.15476759969185638,E1_EGT4,0.018801913123422814,TAS,0.017409178817981596
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,557,VSpd,0.6385799628986665,VSpdG,0.267241514963571,AltB,0.04241928808945571,TAS,0.016967715235782287,E1_RPM,0.013574172188625057
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,558,VSpdG,0.5920323779872049,VSpd,0.3436906683498628,E1_RPM,0.023948628648589734,AltB,0.011138897045855219,Roll,0.0075187555059522725
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,559,VSpd,0.768846987035652,VSpdG,0.13800604075231088,E1_RPM,0.047754471244450834,AltB,0.013143432452601037,TAS,0.013143432452601037
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,560,VSpd,0.4146194648687992,VSpdG,0.271994026016467,E1_RPM,0.10742621195608981,Roll,0.0530274067527902,AltB,0.04571328168343982
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675,561,VSpd,0.7826358382841304,VSpdG,0.13183348451643756,AltB,0.026768220206383257,E1_RPM,0.022083781670267404,Roll,0.012848745699063966
