epoch,step,train_ap_epoch,train_ap_step,train_auroc_epoch,train_auroc_step,train_f1_epoch,train_f1_step,train_loss,val_ap,val_auroc,val_f1,val_loss
0,1,,,,,,,,0.7916666865348816,0.9275362491607666,0.0,0.5734525322914124
0,1,0.5979263186454773,,0.4281189739704132,,0.4261173903942108,,,,,,
1,3,,,,,,,,0.7666666507720947,0.8985507488250732,0.0,0.48996224999427795
1,3,0.6477592587471008,,0.5620450973510742,,0.3703548312187195,,,,,,
2,5,,,,,,,,0.7916666865348816,0.9275362491607666,0.5,0.5243358612060547
2,5,0.6567031741142273,,0.5507805943489075,,0.4772632420063019,,,,,,
3,7,,,,,,,,0.6055555939674377,0.739130437374115,0.5,0.5849475860595703
3,7,0.769121527671814,,0.7053143382072449,,0.40827712416648865,,,,,,
4,9,,,,,,,,0.5940171480178833,0.6521739363670349,0.20000001788139343,0.6650098562240601
4,9,0.8190146088600159,,0.7880043983459473,,0.5261437892913818,,,,,,
5,11,,,,,,,,0.5940171480178833,0.6521739363670349,0.2222222238779068,0.6555102467536926
5,11,0.7894970774650574,,0.7742285132408142,,0.6991336345672607,,,,,,
6,13,,,,,,,,0.5940171480178833,0.6521739363670349,0.23529411852359772,0.56719970703125
6,13,0.8041329383850098,,0.7757614850997925,,0.6822324395179749,,,,,,
7,15,,,,,,,,0.5955555438995361,0.6666666865348816,0.5,0.48035943508148193
7,15,0.8535611033439636,,0.8699307441711426,,0.6122470498085022,,,,,,
8,17,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.5705903768539429
8,17,0.8894250988960266,,0.8808279037475586,,0.44475045800209045,,,,,,
9,19,,,,,,,,0.6055555939674377,0.739130437374115,0.2222222238779068,0.6796402335166931
9,19,0.7328709363937378,,0.7716884016990662,,0.671023964881897,,,,,,
10,21,,,,,,,,0.6055555939674377,0.739130437374115,0.2222222238779068,0.6968764066696167
10,21,0.7916483879089355,,0.7828705906867981,,0.7575598359107971,,,,,,
11,23,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.6419432759284973
11,23,0.8683360815048218,,0.8536511659622192,,0.7632036209106445,,,,,,
12,25,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.6202303171157837
12,25,0.7669996619224548,,0.7616139650344849,,0.7582355737686157,,,,,,
13,27,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.6293224692344666
13,27,0.8517089486122131,,0.8057820796966553,,0.8124467730522156,,,,,,
14,29,,,,,,,,0.608187198638916,0.7536231279373169,0.23529411852359772,0.6535791754722595
14,29,0.7790040373802185,,0.7636274695396423,,0.7301321029663086,,,,,,
15,31,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6088069677352905
15,31,0.8373056054115295,,0.8285320401191711,,0.718235969543457,,,,,,
16,33,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.599139928817749
16,33,0.7615171074867249,,0.7583219408988953,,0.7669985294342041,,,,,,
17,35,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6379420757293701
17,35,0.7633103132247925,,0.7832821607589722,,0.7668845057487488,,,,,,
18,37,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6741170287132263
18,37,0.8010832667350769,,0.8321254253387451,,0.7714643478393555,,,,,,
19,39,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6564592123031616
19,39,0.7559819221496582,,0.7953034043312073,,0.720578134059906,,,,,,
20,41,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.631301760673523
20,41,0.8439465761184692,,0.8565574884414673,,0.748161256313324,,,,,,
21,43,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6414709687232971
21,43,0.7742779850959778,,0.7485761642456055,,0.6961871385574341,,,,,,
22,45,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6569350361824036
22,45,0.7132261395454407,,0.7857860326766968,,0.7474246025085449,,,,,,
23,47,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6616173386573792
23,47,0.7627642154693604,,0.7583383321762085,,0.6719073057174683,,,,,,
24,49,,0.7171971797943115,,0.8125,,0.6499999761581421,0.4943225383758545,,,,
24,49,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6483433842658997
24,49,0.7984559535980225,,0.8046568036079407,,0.7069353461265564,,,,,,
25,51,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6340299844741821
25,51,0.8273735046386719,,0.8055796027183533,,0.689043402671814,,,,,,
26,53,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6242939829826355
26,53,0.7882380485534668,,0.8162609338760376,,0.7168627977371216,,,,,,
27,55,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6214618682861328
27,55,0.8690841794013977,,0.8592336177825928,,0.7936777472496033,,,,,,
28,57,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6199045777320862
28,57,0.8265454173088074,,0.8008595705032349,,0.7192022204399109,,,,,,
29,59,,,,,,,,0.6055555939674377,0.739130437374115,0.23529411852359772,0.6195566654205322
29,59,0.8354510068893433,,0.8345323204994202,,0.7867205739021301,,,,,,
