file,n_windows,anomaly_rate,first_anom_start,threshold_used,file_flagged,csv,plots
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_3_189762.csv,306,0.5294117647058824,0,0.2,True,outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_3_189762_window_scores.csv,"['outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_3_189762_flags.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_3_189762_scores.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_3_189762_corr.png']"
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_4_189791.csv,1,1.0,0,0.2,True,outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_4_189791_window_scores.csv,"['outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_4_189791_flags.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_4_189791_scores.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_4_189791_corr.png']"
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675.csv,250,0.8,0,0.3,True,outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675_window_scores.csv,"['outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675_flags.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675_scores.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_0_189675_corr.png']"
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_1_189756.csv,360,0.5972222222222222,0,0.3,True,outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_1_189756_window_scores.csv,"['outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_1_189756_flags.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_1_189756_scores.png', 'outputs/detections/open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_after_1_189756_corr.png']"
