Latitude,Longitude,AltB,BaroA,OAT,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1_FFlow,E1_OilT,E1_OilP,E1_RPM,E1_CHT2,E1_CHT4,E1_EGT2,E1_EGT4,TAS,CRS,NAV1,NAV2,COM1,COM2,MagVar,VSpdG,HAL,HPLfd
47.9482918,-97.1730118,828.9,30.01,25.2,0.0,22.97,1.92,-0.52,0.0,-0.01,3.7,267.0,27.9,27.9,6.4,0.4,23.74,23.82,2.22,149.14,62.14,1205.9,148.19,179.18,1060.31,1112.88,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,133.5
47.9482956,-97.1730194,828.9,30.01,25.2,0.0,29.31,1.9,-0.54,0.02,-0.02,3.7,267.0,27.9,27.9,6.4,0.4,23.74,23.87,2.21,149.05,62.03,1205.3,148.7,179.8,1061.29,1114.95,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,123.5
47.9482956,-97.1730194,828.9,30.01,25.2,0.0,20.67,1.9,-0.54,0.01,-0.03,3.7,267.0,28.0,27.9,6.6,0.4,23.74,23.82,2.2,148.95,62.13,1207.6,149.35,180.49,1062.7,1116.99,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,121.5
47.9482956,-97.1730194,829.9,30.01,25.0,0.0,32.5,1.93,-0.55,0.01,-0.01,3.7,267.0,27.9,27.9,6.4,0.4,23.74,23.87,2.16,148.87,61.99,1202.3,149.94,181.18,1064.38,1119.14,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,120.5
47.9482956,-97.1730118,828.9,30.01,25.0,0.0,4.14,2.04,-0.53,0.02,0.01,3.8,267.0,27.9,27.8,5.6,0.4,23.74,23.87,1.71,148.79,57.99,1017.9,150.48,181.78,1051.12,1117.87,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,119.5
47.9482918,-97.1730118,826.9,30.01,25.0,0.0,-41.1,1.99,-0.55,0.01,0.0,3.7,267.0,27.8,27.8,4.8,0.4,23.72,23.87,1.65,148.71,56.78,886.3,151.13,182.53,989.39,1103.49,0.0,311.9,114.3,114.3,118.4,123.3,3.2,11.8,3704.0,118.5
47.9482956,-97.1730194,827.9,30.01,25.0,0.0,-31.89,1.98,-0.52,0.02,0.0,3.7,267.0,27.9,27.8,5.9,0.3,23.72,23.87,1.67,148.63,57.55,912.2,151.72,183.15,948.82,1085.33,0.0,311.9,114.3,114.3,118.4,123.3,3.2,11.8,3704.0,116.5
47.9482841,-97.1730118,826.9,30.01,25.0,0.0,-24.83,2.02,-0.48,-0.01,0.0,3.8,267.0,27.9,27.9,6.1,0.4,23.72,23.87,1.67,148.55,57.86,928.1,152.26,183.78,939.09,1070.45,0.0,311.9,114.3,114.3,118.4,123.3,3.2,15.7,3704.0,98.5
47.9482841,-97.1730118,826.9,30.01,25.0,0.0,-27.06,1.97,-0.54,0.01,-0.01,3.7,267.0,27.9,27.8,6.0,0.4,23.72,23.87,1.71,148.48,58.1,944.9,152.78,184.48,936.27,1058.37,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,98.5
47.9482918,-97.1730118,826.9,30.01,25.0,0.0,-24.29,1.98,-0.54,0.01,-0.01,3.7,267.0,27.9,27.8,6.0,0.4,23.72,23.82,1.79,148.41,58.53,963.1,153.31,185.09,940.32,1049.41,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,98.5
47.9482841,-97.1730118,827.9,30.01,25.0,0.0,16.51,1.94,-0.53,0.02,-0.01,3.7,267.0,27.9,27.9,6.3,0.4,23.72,23.82,1.96,148.35,60.42,1067.4,153.92,185.79,947.22,1045.06,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,98.0
47.9482841,-97.1730118,827.9,30.01,25.0,0.0,21.35,1.92,-0.53,0.0,-0.0,3.7,267.0,28.0,27.9,6.4,0.4,23.72,23.87,1.99,148.28,60.78,1106.2,154.4,186.38,962.52,1046.69,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,98.0
47.9482841,-97.1730118,826.9,30.01,25.0,0.0,-2.17,1.97,-0.54,-0.01,0.02,3.7,267.0,28.0,27.9,6.4,0.4,23.74,23.82,1.99,148.21,60.81,1118.4,154.99,187.08,980.87,1050.36,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,97.5
47.9482841,-97.1730118,827.9,30.01,25.0,0.0,9.86,1.94,-0.53,0.01,0.0,3.7,267.0,27.9,27.9,6.1,0.4,23.74,23.82,1.96,148.14,60.61,1112.8,155.54,187.79,997.18,1053.94,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,97.5
47.9482841,-97.1730118,826.9,30.01,25.0,0.0,-9.52,1.97,-0.59,0.01,-0.01,3.6,267.0,27.9,27.9,6.0,0.4,23.74,23.82,1.98,148.06,60.58,1107.8,156.05,188.42,1013.61,1055.9,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,97.5
47.9482918,-97.1730194,827.9,30.01,25.0,0.0,1.7,1.98,-0.57,0.01,-0.01,3.7,267.0,27.9,27.9,5.9,0.3,23.72,23.8,1.97,147.98,60.73,1115.4,156.67,189.15,1026.64,1058.34,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,71.5
47.9482841,-97.1730118,828.9,30.01,25.0,0.0,15.37,2.0,-0.57,0.01,0.01,3.7,267.0,28.0,27.9,6.2,0.4,23.72,23.8,1.96,147.91,60.69,1113.9,157.21,189.85,1035.61,1060.87,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,71.5
47.9482803,-97.1730118,828.9,30.01,25.0,0.0,20.54,1.99,-0.62,0.01,0.0,3.7,267.0,28.0,27.9,6.2,0.4,23.72,23.82,1.98,147.83,60.62,1112.2,157.72,190.48,1044.12,1063.49,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,71.5
47.9482803,-97.1730118,829.9,30.01,25.0,0.0,31.02,2.02,-0.56,0.02,-0.02,3.7,267.0,27.9,27.9,6.0,0.4,23.72,23.82,1.95,147.75,60.75,1114.0,157.78,190.64,1049.8,1065.18,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,71.5
47.9482765,-97.1730042,829.9,30.01,25.0,0.0,21.27,2.03,-0.57,0.01,-0.01,3.7,267.0,27.9,27.9,5.9,0.3,23.74,23.8,1.96,147.68,60.72,1117.7,158.02,191.0,1053.74,1066.59,0.0,311.9,114.3,114.3,118.4,123.3,3.2,3.9,3704.0,71.5
47.9482536,-97.1730042,826.9,30.01,25.0,0.0,-32.91,2.01,-0.59,0.02,0.01,3.7,267.0,27.9,27.9,5.9,0.3,23.74,23.82,1.96,147.6,60.66,1114.3,158.49,191.6,1058.62,1068.47,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,54.0
47.9482498,-97.1730042,826.9,30.01,25.0,0.0,-51.01,1.98,-0.57,0.02,-0.01,3.7,267.0,28.0,27.9,6.1,0.4,23.74,23.8,2.0,147.52,60.81,1120.6,159.08,192.33,1062.71,1069.82,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,53.5
47.9482536,-97.1730042,826.9,30.01,25.0,0.0,-23.17,1.99,-0.54,0.01,0.01,3.8,267.0,28.0,27.9,6.1,0.4,23.74,23.8,1.95,147.45,60.76,1121.2,159.66,193.03,1065.67,1071.01,0.0,311.9,114.3,114.3,118.4,123.3,3.2,0.0,3704.0,54.5
47.9482536,-97.1730042,827.9,30.01,24.8,0.0,5.4,2.0,-0.58,0.01,0.0,3.7,267.0,28.0,27.9,5.8,0.3,23.74,23.8,1.98,147.37,60.7,1118.3,160.18,193.69,1069.02,1071.97,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,54.0
47.9482536,-97.1730042,827.9,30.01,24.8,0.0,17.63,1.98,-0.56,0.01,-0.02,3.7,267.0,27.9,27.9,5.8,0.3,23.76,23.8,1.96,147.29,60.7,1116.6,160.72,194.36,1072.48,1073.72,0.0,311.9,114.3,114.3,118.4,123.3,3.2,-3.9,3704.0,54.0
