prototype_id,windows,mean_violation_count,mean_violation_severity,mean_exemplar_distance
0,180,1.7,7.975717675256818,7.8553346985353505
8,145,4.337931034482758,14.268391001647649,6.464142531536364
5,113,5.017699115044247,14.945120995229354,6.417336552913489
1,99,3.292929292929293,10.574100688652182,8.514660204024599
14,92,6.630434782608695,19.539857726620763,6.651180225737913
7,80,3.8,11.919667581234606,6.3715985415087975
13,74,4.878378378378378,16.202575444036203,4.876501817290338
6,67,6.253731343283582,19.49993930411705,7.526562345420808
11,51,8.803921568627452,27.712588086713488,8.750776744440541
10,48,8.291666666666666,21.5675428009478,5.714249261364814
2,40,9.625,34.83614497177926,7.971879978238919
12,15,8.733333333333333,29.64213651419824,5.625010079235499
3,13,8.0,25.29050552118812,8.119997715002969
9,2,9.5,117.62125517865672,8.49049744513104
