prototype_id,feature,contribution
0,AltMSL,1.0876903829227393
0,E1 RPM,1.808495948630669
0,E1 FFlow,1.445421823237605
0,E1 CHT1,0.8697452148062863
0,E1 EGT1,1.6146535771786448
0,NormAc,0.3567354872745956
0,IAS,1.5134800555325711
0,anomaly_flag,0.0
1,AltMSL,0.967369675681551
1,E1 RPM,0.6170572213073687
1,E1 FFlow,1.4431421271784657
1,E1 CHT1,0.823261198531231
1,E1 EGT1,0.5341189306889235
1,NormAc,0.49336596116344633
1,IAS,0.8389984953578447
1,anomaly_flag,0.0
2,AltMSL,0.8208028430923536
2,E1 RPM,0.6695322717311984
2,E1 FFlow,0.6891620071064967
2,E1 CHT1,1.241412701149378
2,E1 EGT1,0.6318768986600873
2,NormAc,0.6322721083048958
2,IAS,0.5183821607944122
2,anomaly_flag,0.0
3,AltMSL,1.4977328170265256
3,E1 RPM,0.5383489745769382
3,E1 FFlow,0.5039016106259856
3,E1 CHT1,1.2556509606845694
3,E1 EGT1,0.5462571217957475
3,NormAc,0.6386937737645735
3,IAS,0.4617887075605123
3,anomaly_flag,0.0
5,AltMSL,1.2974331314471552
5,E1 RPM,0.5048843509743667
5,E1 FFlow,0.5795507672866593
5,E1 CHT1,0.3473072680501816
5,E1 EGT1,0.9732019235760572
5,NormAc,0.8758568545729243
5,IAS,0.8947188644783607
5,anomaly_flag,0.0
6,AltMSL,1.6622187870917349
6,E1 RPM,0.527677723257243
6,E1 FFlow,0.18649292939316703
6,E1 CHT1,0.1788171349997016
6,E1 EGT1,0.7584880856121969
6,NormAc,1.873628162667893
6,IAS,0.5313768400152861
6,anomaly_flag,0.0
7,AltMSL,0.13125188976597177
7,E1 RPM,0.5406616034351756
7,E1 FFlow,0.20489650406894172
7,E1 CHT1,1.1785170938657004
7,E1 EGT1,0.8244089673244198
7,NormAc,0.8546622769151255
7,IAS,0.813566110440186
7,anomaly_flag,0.0
8,AltMSL,0.24768902046235808
8,E1 RPM,0.5453533541005907
8,E1 FFlow,0.7878843421480487
8,E1 CHT1,1.6484009066805505
8,E1 EGT1,0.8563756632485794
8,NormAc,0.7054065574602938
8,IAS,0.8970245210752824
8,anomaly_flag,0.0
9,AltMSL,0.5446799814829502
9,E1 RPM,0.6628382337775929
9,E1 FFlow,0.30678275354643053
9,E1 CHT1,0.6565408995848475
9,E1 EGT1,0.9455694771583463
9,NormAc,0.7060631840133874
9,IAS,0.6035385868420612
9,anomaly_flag,0.0
10,AltMSL,0.6308614891039885
10,E1 RPM,0.32059807129651946
10,E1 FFlow,0.5452440433111966
10,E1 CHT1,0.51490733889615
10,E1 EGT1,0.384894224599059
10,NormAc,0.6699107957056935
10,IAS,0.5348322570456286
10,anomaly_flag,0.0
11,AltMSL,1.08547630459527
11,E1 RPM,1.2968521113505187
11,E1 FFlow,1.4691322388906392
11,E1 CHT1,1.0301118241300806
11,E1 EGT1,1.416553501904349
11,NormAc,0.36555135063544497
11,IAS,1.382519941013168
11,anomaly_flag,0.0
12,AltMSL,0.6038774584373311
12,E1 RPM,0.39501258582119986
12,E1 FFlow,0.4858946445911319
12,E1 CHT1,0.7067681521072863
12,E1 EGT1,0.35127136965351824
12,NormAc,0.5848669898616945
12,IAS,0.28468817471392155
12,anomaly_flag,0.0
13,AltMSL,0.4742782984386141
13,E1 RPM,0.7533307632244277
13,E1 FFlow,0.8077647520872748
13,E1 CHT1,0.7691521348470876
13,E1 EGT1,0.328917501004085
13,NormAc,0.5066027939160634
13,IAS,0.3458740272748216
13,anomaly_flag,0.0
14,AltMSL,0.987807412149356
14,E1 RPM,1.377834978066798
14,E1 FFlow,1.4324215246775616
14,E1 CHT1,0.4466211972465147
14,E1 EGT1,1.2490465806491102
14,NormAc,0.307187443185197
14,IAS,1.5220127057879353
14,anomaly_flag,0.0
