,abs_coef_mean
AltMSL,0.8202121996960994
E1 CHT1,0.7011317372482321
E1 FFlow,0.5231081587625248
E1 EGT1,0.5069109175458312
E1 RPM,0.4482539869415184
IAS,0.42512633967632657
NormAc,0.38517129504770725
anomaly_flag,0.0
