epoch,step,train_mse_mask,val_mse_mask
0,1,,0.515553891658783
1,3,,1.11934494972229
2,5,,1.3209922313690186
3,7,,0.3885571360588074
4,9,,0.3767717480659485
5,11,,0.34450653195381165
6,13,,0.3300418555736542
7,15,,0.36430785059928894
8,17,,0.30566564202308655
9,19,,0.45760807394981384
10,21,,0.5510881543159485
11,23,,0.36530765891075134
12,25,,0.4508301317691803
13,27,,0.40089553594589233
14,29,,0.6448214650154114
15,31,,0.5650342702865601
16,33,,0.430048406124115
17,35,,0.43627113103866577
18,37,,0.3551388084888458
19,39,,0.6648779511451721
20,41,,0.3970293402671814
21,43,,0.5376278162002563
22,45,,0.28138989210128784
23,47,,0.3042078912258148
24,49,0.15008750557899475,
24,49,,0.40502217411994934
25,51,,0.4163324236869812
26,53,,0.44348016381263733
27,55,,0.41421377658843994
28,57,,0.4543064534664154
29,59,,0.36695465445518494
30,61,,0.6972235441207886
31,63,,0.3963339924812317
32,65,,0.7266231179237366
33,67,,0.3892468214035034
34,69,,0.3805030286312103
35,71,,0.6512717008590698
36,73,,0.3367967903614044
37,75,,0.5013378858566284
38,77,,0.4208753705024719
39,79,,0.3678153455257416
40,81,,0.5583264231681824
41,83,,0.33293503522872925
42,85,,0.619843602180481
43,87,,0.564274251461029
44,89,,0.36499693989753723
45,91,,0.6741704344749451
46,93,,0.2391834259033203
47,95,,0.5483468770980835
48,97,,0.45789316296577454
49,99,0.33282414078712463,
49,99,,0.41197773814201355
