file,window_idx,prototype_id,nearest_dist,top3_sensors,viol_count_AltMSL,viol_sev_AltMSL,viol_count_E1 RPM,viol_sev_E1 RPM,viol_count_E1 FFlow,viol_sev_E1 FFlow,viol_count_E1 CHT1,viol_sev_E1 CHT1,viol_count_E1 EGT1,viol_sev_E1 EGT1,viol_count_NormAc,viol_sev_NormAc,viol_count_IAS,viol_sev_IAS
window_1000.csv,1000,3,6.89486591052399,"E1 CHT1, E1 EGT1, AltMSL",17,34.65300617064722,13,36.47619698851975,9,27.344700248127253,30,388.8199986622843,21,53.213864873350886,3,12.538576665250439,0,7.771561172376096e-08
window_10000.csv,10000,4,33.21407790737337,"AltMSL, E1 CHT1, IAS",30,15107215740.877726,30,202151249.3025163,30,406916817.8453435,30,1406058625.0950181,30,758436799.2414929,29,7832505799.02566,30,957111657.1933807
window_10025.csv,10025,4,37.43371471947734,"AltMSL, NormAc, E1 CHT1",30,17184156003.651093,29,170293168.56754944,30,370046704.1646207,30,1510052641.076722,30,568350876.2989153,30,8348191183.655005,30,859026441.4501622
window_10050.csv,10050,4,43.13707059394741,"AltMSL, E1 CHT1, E1 EGT1",30,20259606110.92095,30,86820284.54612595,30,463335024.3801809,30,1480022953.0596335,30,770003089.7112448,29,9048715702.59927,30,541785564.6603315
window_10075.csv,10075,4,44.623649896819856,"AltMSL, E1 CHT1, E1 EGT1",30,22277122976.99235,30,91184391.19563413,30,538387031.8591156,30,1432771041.1212873,30,907182749.1880118,29,8319964198.108432,30,520256257.2105153
window_10100.csv,10100,4,46.9021736010686,"AltMSL, E1 CHT1, E1 EGT1",30,23778777702.296143,30,168741540.3003666,30,579279346.8763871,30,1411507122.321887,30,853516556.7531724,29,7946684778.152142,30,810296523.4569128
window_10125.csv,10125,4,52.13164750520775,"AltMSL, NormAc, E1 CHT1",30,27128823228.38515,30,83720908.59773412,30,713423145.7511173,30,1432991424.7343314,30,1042007144.3268738,30,6610701633.915237,30,561114545.9027146
window_10150.csv,10150,4,63.4090344248317,"AltMSL, IAS, E1 FFlow",30,31291417949.146755,30,335497129.7384653,30,2461679474.24286,30,1487316759.176095,30,629409218.7146918,29,11252554803.979805,30,2505190368.6146083
window_10175.csv,10175,4,63.18380494886238,"AltMSL, E1 FFlow, IAS",30,31568652449.0896,30,826333600.9561311,30,6149760450.640633,30,1805979262.6365194,30,1288194933.0026364,28,8737938202.48291,30,4857287443.860155
window_10200.csv,10200,4,58.51920047422581,"AltMSL, E1 FFlow, IAS",30,29940547832.74542,30,251587083.47363874,30,4417069026.005647,30,2656459707.140747,30,762123727.6778291,29,7246453625.8088875,30,3666700662.1434617
window_10225.csv,10225,4,59.081343759702044,"AltMSL, E1 FFlow, E1 CHT1",30,30257882037.503963,30,214404091.7076165,30,4440671568.269912,30,3379486925.9940386,30,2124271367.703351,29,6899952307.807948,30,2497328440.184556
window_1025.csv,1025,3,10.33338954568361,"E1 CHT1, E1 EGT1, E1 RPM",18,35.17425104411302,23,52.77448230240432,16,38.611037762263415,30,366.1681199735748,24,80.85703872936034,7,20.940562374106694,0,7.771561172376096e-08
window_10250.csv,10250,4,60.46249445737163,"AltMSL, NormAc, E1 FFlow",30,30382513811.28052,30,165131005.04416096,30,4573854427.820291,30,3647328913.447422,30,3718127202.060584,30,8431729043.869618,30,2196400987.914162
window_10275.csv,10275,4,67.40824922082197,"AltMSL, NormAc, E1 FFlow",30,31020260090.966366,30,384308231.5432635,30,5109083285.154114,30,3545939014.9874706,30,4225629043.7991962,30,15229736623.925901,30,3724738405.5782385
window_10300.csv,10300,4,66.17073521212532,"AltMSL, NormAc, E1 FFlow",30,30917152179.418446,30,427349647.1953505,30,6525679231.329942,30,3526275747.8880363,30,4140964679.1298747,30,13533499407.756672,30,4541524273.093953
window_10325.csv,10325,4,60.67422213544227,"AltMSL, E1 FFlow, E1 CHT1",30,30221005950.066837,30,384402135.2823235,30,5900925986.1821995,30,3948193782.8011575,30,3791199233.026981,28,7907449248.895867,30,3766898163.292124
window_10350.csv,10350,4,60.49326738932905,"AltMSL, NormAc, E1 FFlow",30,30162422249.16498,30,107839229.51914105,30,4464341712.602158,30,4352160801.08768,30,3841499780.466673,30,9077054774.572584,30,2473774500.4405437
window_10375.csv,10375,4,61.44835926476124,"AltMSL, NormAc, E1 FFlow",30,30532922856.87064,30,133355683.96129745,30,4296430559.339004,30,4273734756.56701,30,4122363306.96128,30,9631644316.516027,30,2471945061.6857257
window_10400.csv,10400,4,63.59991633098144,"AltMSL, NormAc, E1 FFlow",30,31271872999.491673,30,211932880.99787682,30,5051665277.740602,30,3930619135.6342063,30,4251103719.530623,30,10270910939.026327,30,3610600014.875283
window_10425.csv,10425,4,65.36052214063581,"AltMSL, E1 FFlow, IAS",30,30858905167.225967,30,677247088.2441632,30,6969759212.010606,30,3727191566.1072683,30,4320811660.36531,29,12469800317.829208,30,4852793698.360031
window_10450.csv,10450,4,61.60217819307152,"AltMSL, NormAc, E1 FFlow",30,30141774944.515205,30,667961318.7089497,30,5784761615.525934,30,4061522941.2463913,30,3752848896.330732,30,9645705668.839878,30,3185289938.9682555
window_10475.csv,10475,4,62.84268654147321,"AltMSL, NormAc, E1 FFlow",30,30942312834.667328,30,225830807.2650026,30,4617062457.040896,30,4408267422.475822,30,3869794220.9492984,30,10162334359.692427,30,2639797660.961224
window_1050.csv,1050,3,6.802231368035183,"E1 CHT1, AltMSL, E1 EGT1",15,34.596200396268465,0,12.10579980311128,0,6.8186495579378485,30,338.8574864223367,14,25.88259118047747,5,14.906238834606915,0,7.771561172376096e-08
window_10500.csv,10500,4,65.98375894225927,"AltMSL, E1 FFlow, E1 CHT1",30,32103986821.894413,30,210518404.47988784,30,5589668962.509504,30,4323285584.960032,30,4111002691.7646804,29,10337156017.949274,30,4158346878.7144012
window_10525.csv,10525,4,62.356012450129896,"AltMSL, E1 FFlow, E1 CHT1",30,31274053395.496346,30,470946048.0897918,30,6316505110.291358,30,4302489113.248823,30,3972317391.444852,29,7365159170.653846,30,4284063542.6759167
window_10550.csv,10550,4,60.626400563209536,"AltMSL, NormAc, E1 FFlow",30,30737144926.37691,30,333785802.4340292,30,5423076387.014319,30,4567094669.31351,30,3636176308.9127274,30,7265827749.793368,30,3303473671.6720195
window_10575.csv,10575,4,63.27393737103305,"AltMSL, NormAc, E1 FFlow",30,31071028466.102806,30,172186349.4349569,30,5073310080.040503,30,4707348138.213517,30,3848486511.3992243,30,9564514606.336544,30,3337034054.8562784
