flight_id,subseq_id,window_idx,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z,top4_feature,top4_z,top5_feature,top5_z
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1098,mae_OAT,5.4428860234853635,mae_E1_CHT2,2.4140435893076337,mae_E1_CHT4,1.922734702992731,mae_Longitude,1.6751083279853933,mae_AltB,1.457387638873417
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1099,mae_E1_CHT2,2.3717794950801867,mae_E1_CHT4,1.8231173619513708,mae_Longitude,1.3757712339866417,mae_AltB,1.255481733369956,mae_E1_OilT,0.8813340097209938
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1100,mae_E1_CHT2,2.4140435893073935,mae_E1_CHT4,2.3710127376794183,mae_Longitude,1.4146165057641193,mae_Pitch,1.2902268442946359,mae_AltB,1.255481733369956
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1101,mae_FQtyR,2.631147908983885,mae_E1_CHT2,2.0759308354894985,mae_E1_CHT4,1.9725433735136941,mae_Longitude,1.6312360210794994,mae_LatAc,1.6032756187796822
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1102,mae_E1_FFlow,9.827677203879576,mae_VSpdG,4.637111429771565,mae_GndSpd,3.1815444836587194,mae_E1_CHT4,2.321204067158455,mae_E1_CHT2,1.991402647035085
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1103,mae_E1_FFlow,11.924159363131317,mae_E1_RPM,4.053171292361867,mae_E1_OilP,3.5864099850319255,mae_E1_CHT4,1.9725433735136941,mae_E1_CHT2,1.9491385528078782
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1104,mae_FQtyL,6.178566883234022,mae_FQtyR,2.631147908983885,mae_E1_CHT4,2.321204067158455,mae_Longitude,1.688361420756081,mae_Roll,1.4739770774652403
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1105,mae_NormAc,3.0809559439451384,mae_Longitude,1.6188969347784528,mae_E1_CHT4,0.9763699630989596,mae_Pitch,0.9015088108457271,mae_Roll,0.6899421991206455
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1106,mae_FQtyR,2.631147908983885,mae_Longitude,1.6760223343900902,mae_GndSpd,1.2861151860520554,mae_FQtyL,1.1970732192532347,mae_VSpd,1.03221667727013
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1107,mae_Longitude,1.5718256054885917,mae_VSpd,1.5154594985540117,mae_FQtyR,1.21514585716189,mae_HPLfd,0.7970136508981372,mae_E1_CHT2,0.6289711950541397
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1108,mae_Longitude,1.641290091401276,mae_FQtyL,1.3749837072525124,mae_NormAc,0.986517130524728,mae_HPLfd,0.7970136508981372,mae_E1_FFlow,0.7429211804553562
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1109,mae_FQtyR,2.631147908983885,mae_Longitude,1.688361420756081,mae_Pitch,0.7729688717034013,mae_E1_OilT,0.6390595910630898,mae_NormAc,0.6374439949546594
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617,1110,mae_TRK,24.94125019975777,mae_GndSpd,3.238124462691742,mae_Pitch,2.4862823318297256,mae_VSpdG,1.9579164043460382,mae_AltB,1.457387638873417
