feature,contribution_weighted
IAS,0.9630646095187868
E1 EGT1,0.9459676993015048
E1 FFlow,0.9286950228348044
E1 RPM,0.8895187357764202
E1 CHT1,0.859406480540703
AltMSL,0.85379117738339
NormAc,0.6560796717578466
anomaly_flag,0.0
