prototype_id,feature,abs_coef
0,AltMSL,0.30913266869079076
0,E1 RPM,1.2821779359181287
0,E1 FFlow,0.6492264169212016
0,E1 CHT1,0.6658028378053351
0,E1 EGT1,0.8776797658678226
0,NormAc,0.020686245218477096
0,IAS,0.6700132730750271
0,anomaly_flag,0.0
1,AltMSL,1.000461068682128
1,E1 RPM,0.7090792396826386
1,E1 FFlow,1.4660538358271504
1,E1 CHT1,0.17250543469564383
1,E1 EGT1,0.060558144193134246
1,NormAc,0.3680387045620869
1,IAS,0.6480642735142016
1,anomaly_flag,0.0
2,AltMSL,0.390657163762168
2,E1 RPM,0.5678481360095781
2,E1 FFlow,0.9973287458800966
2,E1 CHT1,1.1158196359594763
2,E1 EGT1,0.02351315470665137
2,NormAc,0.058801787364288836
2,IAS,0.36475693131644715
2,anomaly_flag,0.0
3,AltMSL,1.531724001932536
3,E1 RPM,0.16220893856633714
3,E1 FFlow,0.15391787551651478
3,E1 CHT1,1.1374230057651427
3,E1 EGT1,0.4471322322147757
3,NormAc,0.7813786921688853
3,IAS,0.012603632929886189
3,anomaly_flag,0.0
5,AltMSL,1.345039511199555
5,E1 RPM,0.0797281266157058
5,E1 FFlow,0.79643481328495
5,E1 CHT1,0.1306427834136277
5,E1 EGT1,0.8088001113200064
5,NormAc,0.8058324005589357
5,IAS,0.6000103874034457
5,anomaly_flag,0.0
6,AltMSL,0.8422504807011655
6,E1 RPM,0.19178679262682616
6,E1 FFlow,0.0003143129405461741
6,E1 CHT1,0.08739374883345148
6,E1 EGT1,0.22035194100725414
6,NormAc,1.6611725715722758
6,IAS,0.0057391777875996286
6,anomaly_flag,0.0
7,AltMSL,0.5817891358521161
7,E1 RPM,0.7652573065794411
7,E1 FFlow,0.0711432086828974
7,E1 CHT1,0.25222550728809795
7,E1 EGT1,1.0427296679488187
7,NormAc,0.3432158235122124
7,IAS,0.7473089686435319
7,anomaly_flag,0.0
8,AltMSL,0.5504857143689278
8,E1 RPM,0.10006730855173696
8,E1 FFlow,0.9284634098621568
8,E1 CHT1,1.6960051443397366
8,E1 EGT1,0.08799119450591547
8,NormAc,0.034173555037716644
8,IAS,0.4448056461242112
8,anomaly_flag,0.0
9,AltMSL,0.06168514758697258
9,E1 RPM,0.47962080295355225
9,E1 FFlow,0.2377082930699888
9,E1 CHT1,0.24027774269741803
9,E1 EGT1,0.8422887385226694
9,NormAc,0.3333325450817241
9,IAS,0.04326116695863726
9,anomaly_flag,0.0
10,AltMSL,1.5220551430325866
10,E1 RPM,0.46763732169061606
10,E1 FFlow,0.03287978903561831
10,E1 CHT1,0.2906353626613344
10,E1 EGT1,0.19330232894695198
10,NormAc,0.3005006967847699
10,IAS,0.881787825157565
10,anomaly_flag,0.0
11,AltMSL,0.4227691754495552
11,E1 RPM,0.1775879270700806
11,E1 FFlow,0.4243756480174318
11,E1 CHT1,0.8020498917955378
11,E1 EGT1,0.9788858688979368
11,NormAc,0.23273747016070634
11,IAS,0.31140829309331935
11,anomaly_flag,0.0
12,AltMSL,1.4639977409967424
12,E1 RPM,0.31016720091635097
12,E1 FFlow,0.130253710898942
12,E1 CHT1,0.8615913137356309
12,E1 EGT1,0.5431712026530325
12,NormAc,0.15252690761328316
12,IAS,0.12577837117720603
12,anomaly_flag,0.0
13,AltMSL,0.9188616591335325
13,E1 RPM,0.5861136644996403
13,E1 FFlow,0.8989337750118245
13,E1 CHT1,1.526080106323697
13,E1 EGT1,0.46546290842817817
13,NormAc,0.15835813861731374
13,IAS,0.46673717412005017
13,anomaly_flag,0.0
14,AltMSL,0.5420621843566129
14,E1 RPM,0.3962751155006252
14,E1 FFlow,0.5364803877260274
14,E1 CHT1,0.8373918061611183
14,E1 EGT1,0.5048855864284898
14,NormAc,0.14164259241522648
14,IAS,0.6294936341674431
14,anomaly_flag,0.0
