epoch,step,train_mse_mask,val_mse_mask
0,1,,0.44785812497138977
1,3,,1.1739540100097656
2,5,,0.4889507591724396
3,7,,0.3313656449317932
4,9,,0.5556012988090515
5,11,,0.4504993259906769
6,13,,0.34761980175971985
7,15,,0.5324583649635315
8,17,,0.507654070854187
9,19,,0.3335071802139282
10,21,,0.45265838503837585
11,23,,0.3102149963378906
12,25,,0.3198482096195221
13,27,,0.3484453558921814
14,29,,0.4510212242603302
15,31,,0.3322950005531311
16,33,,0.44345343112945557
17,35,,0.397672176361084
18,37,,0.38026052713394165
19,39,,0.3028327524662018
20,41,,0.6018373966217041
21,43,,0.5517930388450623
22,45,,0.579243540763855
23,47,,0.5335714817047119
24,49,0.2088238000869751,
24,49,,0.45325472950935364
25,51,,0.3058438301086426
26,53,,0.32773810625076294
27,55,,0.36795780062675476
28,57,,0.3937305212020874
29,59,,0.19950826466083527
30,61,,0.2197100967168808
31,63,,0.40576407313346863
32,65,,0.2938106656074524
33,67,,0.3846733272075653
34,69,,0.5803823471069336
35,71,,0.2087228149175644
36,73,,0.3418543040752411
37,75,,0.34445470571517944
38,77,,0.68320631980896
39,79,,0.5918447375297546
40,81,,0.5680592656135559
41,83,,0.3432210087776184
42,85,,0.5697794556617737
43,87,,0.2541804015636444
44,89,,0.31698018312454224
45,91,,0.32281404733657837
46,93,,0.21867892146110535
47,95,,0.2653025984764099
48,97,,0.39056330919265747
49,99,0.1976255178451538,
49,99,,0.5068626403808594
