window_stem,path,mean_abs_z,top1_feature,top1_z,top2_feature,top2_z,top3_feature,top3_z
window_3900,exact_data/anomaly/window_3900.csv,0.6372950105712206,AltMSL__std,1.9116477263211014,E1 CHT1__max,1.4635839450816561,E1 CHT1__mean,1.3564926925518594
window_8150,exact_data/anomaly/window_8150.csv,0.6366545161530703,AltMSL__min,2.0471453169879967,AltMSL__mean,2.016188253752337,AltMSL__max,1.9876585887684082
window_9400,exact_data/anomaly/window_9400.csv,0.6361203653090591,NormAc__max,2.512927514596796,NormAc__std,1.8723392974362663,NormAc__min,1.3974894332815797
window_3850,exact_data/anomaly/window_3850.csv,0.6335992503912454,AltMSL__mean,1.4347950603666448,AltMSL__max,1.4258982043625799,AltMSL__min,1.406400582293449
window_15350,exact_data/anomaly/window_15350.csv,0.6334058211727773,E1 FFlow__std,3.867988370213729,E1 RPM__std,1.7058479561784112,E1 FFlow__max,1.6756838199653143
window_21425,exact_data/anomaly/window_21425.csv,0.6327726544802907,E1 CHT1__max,1.6694426444200123,E1 CHT1__mean,1.5708860639885394,E1 CHT1__min,1.4339735397729372
window_2225,exact_data/anomaly/window_2225.csv,0.6319949462085367,AltMSL__min,2.507148924986682,AltMSL__mean,2.4932945599603107,AltMSL__max,2.461712323591328
window_23375,exact_data/anomaly/window_23375.csv,0.631567289041154,E1 FFlow__std,2.034795069326176,NormAc__max,1.5328800391943422,NormAc__std,1.3457705700718536
window_21375,exact_data/anomaly/window_21375.csv,0.6299500543751957,E1 CHT1__min,1.999128879004528,E1 CHT1__mean,1.9981176177391635,E1 CHT1__max,1.9566670463903628
window_6925,exact_data/anomaly/window_6925.csv,0.6295971053230712,E1 FFlow__min,2.1821185289343275,E1 FFlow__mean,1.9817272063350846,E1 CHT1__max,1.7180295110364017
window_7850,exact_data/anomaly/window_7850.csv,0.6286539889337309,AltMSL__min,2.051274102079907,AltMSL__mean,2.012159497829871,AltMSL__max,1.981867972612371
window_2250,exact_data/anomaly/window_2250.csv,0.627730200343251,AltMSL__min,2.474759317800145,AltMSL__mean,2.442744896940192,AltMSL__max,2.4071957910003414
window_2600,exact_data/anomaly/window_2600.csv,0.6267029958648368,AltMSL__min,2.3400755006640397,AltMSL__mean,2.320960685653469,AltMSL__max,2.3111563035343545
window_15375,exact_data/anomaly/window_15375.csv,0.6264763777527373,E1 FFlow__min,2.2252774393527197,E1 FFlow__mean,2.0026567296852313,E1 FFlow__max,1.6756838199653143
window_7225,exact_data/anomaly/window_7225.csv,0.6264488621329624,AltMSL__min,2.0781823911271835,AltMSL__mean,2.039517231595446,AltMSL__max,2.005454140857694
window_8425,exact_data/anomaly/window_8425.csv,0.6260377912667199,AltMSL__min,2.0622367383584272,AltMSL__mean,2.0223270853573605,AltMSL__max,1.9868817987962566
window_4000,exact_data/anomaly/window_4000.csv,0.6259312644145814,E1 CHT1__max,1.4192938761932485,IAS__min,1.3298820943407843,E1 CHT1__mean,1.2939776184831953
