file,cluster_id,nearest_dist,viol_count_total,viol_sev_total
window_1000.csv,0,12.436735671267323,1,5.294218985446461
window_10000.csv,2,7.533510439212183,9,30.05599387702749
window_10025.csv,2,7.8365367683016975,10,38.007766994170545
window_10050.csv,2,6.785586171755509,6,32.815053150987744
window_10075.csv,2,7.412046388295543,9,35.54598209618357
window_10100.csv,2,7.553824156277935,7,38.085092586272935
window_10125.csv,2,8.678291769878387,9,43.25833335932695
window_10150.csv,3,9.7794876249443,11,35.11576185339609
window_10175.csv,3,11.66893188959492,11,42.83810352379847
window_10200.csv,5,10.240992035535742,4,20.148301707264128
window_10225.csv,5,7.748315408832612,4,12.67499036481962
window_1025.csv,0,12.120647522801333,3,8.140554498442476
window_10250.csv,5,6.987129585926104,4,16.194024137910557
window_10275.csv,5,8.039406211896061,8,18.54917711632831
window_10300.csv,5,8.339253234811231,6,19.976045915880366
window_10325.csv,5,6.448238884167375,5,15.358449958318836
window_10350.csv,5,5.886890158814846,5,15.030111675816842
window_10375.csv,5,7.295605620753423,7,16.233130906976594
window_10400.csv,5,8.122356756290891,8,17.986332453664193
window_10425.csv,5,8.428569883496909,6,21.26338529025491
window_10450.csv,5,6.823535475343201,6,16.309860581457293
window_10475.csv,5,7.226521227819641,9,16.510178178654257
window_1050.csv,0,11.72452026070434,0,6.228405707205534
window_10500.csv,5,5.340777469574644,4,13.754391503928804
window_10525.csv,5,5.359014978853863,5,13.24365537239182
window_10550.csv,5,3.5968016630352637,3,8.83836756924114
window_10575.csv,5,5.60193874111615,6,12.702971180592074
window_10600.csv,5,4.98871521325273,6,11.912206969549846
window_10625.csv,5,6.668207484199581,5,15.812411699365729
window_10650.csv,5,4.784122788263141,4,11.84967636263167
window_10675.csv,5,4.795211349601428,5,12.267095405388536
window_10700.csv,5,4.549104027288861,4,9.08795183358902
window_10725.csv,5,5.484475716734595,5,13.753022938988028
window_1075.csv,0,11.666598205534708,0,4.196171492088916
window_10750.csv,5,5.6910414462515595,6,13.797029921180478
window_10775.csv,5,6.197396361805633,5,14.100375881849162
window_10800.csv,5,7.785923310467802,7,19.204241947625768
window_10825.csv,5,7.472173791400767,6,16.947476141878095
window_10850.csv,5,7.959518404275516,8,17.518734373371068
window_10875.csv,5,7.672288286965173,4,16.305637540877594
window_10900.csv,5,8.568153156972466,5,19.360857889660306
window_10925.csv,5,8.602132854412801,7,18.84551833702105
window_10950.csv,5,10.333532387422885,8,24.373208858322073
window_10975.csv,5,11.750695651048224,11,29.48105274553609
window_1100.csv,0,11.491124613681947,0,4.2167649157165465
window_11000.csv,8,9.836906370420262,5,21.809827568798816
window_11025.csv,8,9.856972063566348,9,21.037296332446264
window_11050.csv,8,11.621788862048907,11,24.990840496770826
window_11075.csv,8,13.26459559445155,9,30.706868652915244
window_11100.csv,8,13.692333188434604,9,28.257396438373373
window_11125.csv,8,12.989281395567472,7,26.407414579391983
window_11150.csv,8,10.839113872811293,9,22.895962887653
window_11175.csv,8,10.690523147766818,8,25.053240536620144
window_11200.csv,8,6.751605124981081,4,16.034208161987582
window_11225.csv,8,6.404585528277855,6,15.968009652223424
