file,prototype_id,nearest_dist,viol_count_total,viol_sev_total
window_1625.csv,9,10.876794909647233,12,156.87559950697462
window_23625.csv,9,6.10419998061485,7,78.3669108503388
window_3150.csv,6,22.48486246842787,14,63.288791581901606
window_3050.csv,6,20.50810286382524,12,55.773634469124445
window_18050.csv,11,15.4843448893368,13,52.95642287456048
window_3250.csv,6,18.797607546252852,14,52.69804295188949
window_5650.csv,12,9.330458493552564,12,51.826503313348866
window_15625.csv,11,16.13696480562455,14,51.00101107955383
window_17800.csv,11,15.031302749966065,14,50.824678676998595
window_12450.csv,2,10.112447386078935,14,50.81635293632405
window_24150.csv,11,17.567329185451047,13,50.012917141091286
window_15925.csv,11,15.248426012959673,11,48.8813284035092
window_16975.csv,11,15.467017247529354,13,48.116056147664494
window_19625.csv,12,7.766580999464506,10,46.95032350323784
window_9975.csv,2,9.700959435821112,15,46.79775147626175
window_7275.csv,2,11.514483914532384,10,45.96020333808781
window_9800.csv,10,15.062348995808982,8,44.602320718678094
window_3225.csv,6,17.38534943155788,11,44.23966450284148
window_9775.csv,11,17.802590490827193,10,43.73853577853627
window_15075.csv,11,13.831378907611985,11,43.62908031918426
window_17300.csv,11,15.571758383501273,11,43.496440639057376
window_10125.csv,2,8.678291769878387,9,43.25833335932695
window_10175.csv,3,11.66893188959492,11,42.83810352379847
window_4850.csv,12,7.805668660919454,12,42.78767290636034
window_7175.csv,2,8.54821247983623,9,42.595123209931465
window_9175.csv,11,15.144923480019637,12,42.27191968849265
window_7100.csv,2,8.485706768928393,10,41.38145209792377
window_7075.csv,2,8.237532807645355,11,41.182645451837146
window_21400.csv,2,7.879484410588211,10,41.02579732970602
window_3125.csv,6,16.62717595704191,10,40.71870238554222
window_16600.csv,11,12.009015918286057,11,40.50033658243887
window_12425.csv,2,9.350215259283706,12,40.29756106360489
window_3075.csv,6,16.3525660858956,12,40.21247615529871
window_1425.csv,2,7.9576554942907025,9,39.78922636566824
window_7250.csv,2,9.33286319380186,12,39.74725873260043
window_19350.csv,14,12.515851239687048,13,39.09579690297648
window_21325.csv,2,8.439509214713842,11,39.03638415152171
window_7150.csv,2,7.875165848000432,11,38.619452075070605
window_13125.csv,11,12.15264274833824,11,38.57813115207375
window_1400.csv,2,8.67910973591824,12,38.242715617376376
window_10100.csv,2,7.553824156277935,7,38.085092586272935
window_10025.csv,2,7.8365367683016975,10,38.007766994170545
window_1675.csv,2,9.532271577254846,12,37.64093742703906
window_25600.csv,14,10.87557717244768,8,37.298829190116706
window_24650.csv,13,9.292631677131483,7,37.0389936674923
window_13475.csv,11,10.603949555018138,14,36.99143659118766
window_1150.csv,14,15.839859298876112,11,36.91670855226988
window_13375.csv,11,9.995273448982823,11,36.13992194618724
window_5525.csv,14,16.38838976080934,12,35.996773344276676
window_21125.csv,14,15.611373478298496,11,35.61836110139678
