prototype_id,n,mean_dist,mean_viol_cnt,mean_viol_sev
0,180,7.8553346985353505,1.7,7.975717675256818
8,145,6.464142531536364,4.337931034482758,14.268391001647647
5,113,6.417336552913489,5.017699115044247,14.945120995229354
1,99,8.514660204024599,3.292929292929293,10.574100688652182
14,92,6.651180225737913,6.630434782608695,19.539857726620763
7,80,6.3715985415087975,3.8,11.919667581234606
13,74,4.876501817290338,4.878378378378378,16.202575444036203
6,67,7.526562345420808,6.253731343283582,19.49993930411705
11,51,8.750776744440541,8.803921568627452,27.712588086713488
10,48,5.714249261364814,8.291666666666666,21.567542800947802
2,40,7.971879978238919,9.625,34.83614497177926
12,15,5.625010079235499,8.733333333333333,29.642136514198242
3,13,8.119997715002969,8.0,25.29050552118812
9,2,8.49049744513104,9.5,117.62125517865671
