file,prototype_id,nearest_dist,viol_count_total,viol_sev_total
window_13925.csv,0,36.54526897498679,5,14.586984186851222
window_13950.csv,0,31.588757593333987,4,12.541948629840364
window_13975.csv,0,27.001885884161776,3,10.141311605315073
window_13900.csv,0,26.616567928678705,8,14.632596956674538
window_20350.csv,0,25.45073356437138,3,9.79475659328831
window_14000.csv,0,23.042853410479395,3,8.93502022776699
window_6250.csv,0,22.61986076479584,3,9.90605515430189
window_3150.csv,6,22.48486246842787,14,63.288791581901606
window_20375.csv,0,21.549573949919047,3,10.007766285155547
window_3050.csv,6,20.50810286382524,12,55.773634469124445
window_14025.csv,0,19.44759132228994,3,8.51306837983111
window_23450.csv,0,19.36101190502144,3,12.020003038673112
window_6275.csv,0,19.19449734505121,3,7.555915514929128
window_3250.csv,6,18.797607546252852,14,52.69804295188949
window_9775.csv,11,17.802590490827193,10,43.73853577853627
window_20400.csv,0,17.682239589279174,3,6.98896305911757
window_24150.csv,11,17.567329185451047,13,50.012917141091286
window_3225.csv,6,17.38534943155788,11,44.23966450284148
window_50.csv,0,16.825618584574983,2,7.549445820669954
window_3125.csv,6,16.62717595704191,10,40.71870238554222
window_9150.csv,8,16.39361004205388,9,34.661821261248335
window_5525.csv,14,16.38838976080934,12,35.996773344276676
window_3075.csv,6,16.3525660858956,12,40.21247615529871
window_14050.csv,0,16.22758991774633,3,7.266624042923665
window_15625.csv,11,16.13696480562455,14,51.00101107955383
window_6300.csv,0,16.004385581868746,2,6.517133610683188
window_1150.csv,14,15.839859298876112,11,36.91670855226988
window_21125.csv,14,15.611373478298496,11,35.61836110139678
window_17300.csv,11,15.571758383501273,11,43.496440639057376
window_24175.csv,1,15.555540061298508,7,16.94113408077655
window_18050.csv,11,15.4843448893368,13,52.95642287456048
window_16975.csv,11,15.467017247529354,13,48.116056147664494
window_15925.csv,11,15.248426012959673,11,48.8813284035092
window_24475.csv,1,15.206037319538376,8,18.25858516398708
window_9125.csv,8,15.191485914736006,8,31.380171047645817
window_9175.csv,11,15.144923480019637,12,42.27191968849265
window_9800.csv,10,15.062348995808982,8,44.602320718678094
window_24750.csv,0,15.034495079483436,7,29.00844908427513
window_17800.csv,11,15.031302749966065,14,50.824678676998595
window_23425.csv,8,14.575777434794972,5,28.311135927119153
window_14825.csv,1,14.49466434557161,4,12.629334418238066
window_16350.csv,1,14.4738913110014,4,12.821738680919092
window_18575.csv,14,14.462885214163444,9,28.36087208322664
window_20425.csv,0,14.45640514187584,2,6.15981525813031
window_9100.csv,8,14.439842039633476,8,29.538717137605047
window_9200.csv,8,14.051066575318714,5,27.743257649218997
window_24775.csv,1,13.935943442377942,6,17.176668769101454
window_23475.csv,8,13.900805262830136,8,31.735109957744523
window_15075.csv,11,13.831378907611985,11,43.62908031918426
window_14550.csv,1,13.794340157154974,6,14.844456591719446
